Subject,label
subject1,1.0
subject10,0.4
subject100,1.0
subject101,0.5
subject103,1.0
subject104,0.0
subject105,0.0
subject106,0.7
subject108,0.8
subject109,0.4
subject11,0.9
subject110,0.8
subject111,0.3
subject112,0.3
subject114,0.9
subject115,1.0
subject116,1.0
subject117,0.1
subject118,1.0
subject119,1.0
subject12,0.9
subject120,0.8
subject121,0.2
subject122,1.0
subject123,1.0
subject124,0.3
subject125,1.0
subject126,1.0
subject127,1.0
subject128,1.0
subject13,0.9
subject130,1.0
subject131,0.1
subject132,0.2
subject133,1.0
subject134,0.9
subject135,1.0
subject136,1.0
subject137,0.8
subject138,0.9
subject139,1.0
subject14,1.0
subject140,0.6
subject141,0.8
subject142,1.0
subject143,1.0
subject144,1.0
subject145,1.0
subject146,0.9
subject147,1.0
subject148,1.0
subject149,0.5
subject15,0.9
subject150,1.0
subject151,1.0
subject152,1.0
subject153,0.9
subject154,0.7
subject155,1.0
subject156,0.8
subject157,1.0
subject158,0.9
subject16,0.9
subject160,0.9
subject161,1.0
subject162,0.8
subject163,1.0
subject164,1.0
subject165,1.0
subject166,0.8
subject167,1.0
subject168,1.0
subject169,0.9
subject17,0.9
subject170,1.0
subject171,1.0
subject172,1.0
subject173,0.4
subject174,0.0
subject176,1.0
subject177,1.0
subject178,0.7
subject179,0.5
subject18,1.0
subject180,1.0
subject182,1.0
subject183,1.0
subject184,1.0
subject185,0.8
subject186,1.0
subject187,1.0
subject188,0.9
subject189,0.9
subject19,1.0
subject190,1.0
subject191,1.0
subject192,0.9
subject193,1.0
subject194,0.9
subject195,1.0
subject216,0.4
subject228,0.0
subject240,0.0
subject247,0.0
subject248,0.3
subject253,0.1
subject271,0.2
subject272,0.0
subject279,0.2
subject283,0.2
subject296,0.2
subject309,0.4
subject313,0.1
subject35,0.0
subject360,0.1
subject371,0.1
subject375,0.0
subject394,0.1
subject4,0.2
subject400,0.4
subject404,0.0
subject426,0.2
subject433,0.4
subject435,0.3
subject439,0.4
subject443,0.1
subject454,0.2
subject466,0.3
subject473,0.4
subject476,0.4
subject488,0.0
subject49,0.3
subject498,0.4
subject67,0.0
subject83,0.1
subject84,0.3
subject90,0.3
subject91,0.3
subject97,0.2
