Subject,label
subject1,1
subject10,0
subject100,1
subject101,1
subject103,1
subject104,0
subject105,0
subject106,1
subject108,1
subject109,0
subject11,1
subject110,1
subject111,0
subject112,0
subject114,1
subject115,1
subject116,1
subject117,0
subject118,1
subject119,1
subject12,1
subject120,1
subject121,0
subject122,1
subject123,1
subject124,0
subject125,1
subject126,1
subject127,1
subject128,1
subject13,1
subject130,1
subject131,0
subject132,0
subject133,1
subject134,1
subject135,1
subject136,1
subject137,1
subject138,1
subject139,1
subject14,1
subject140,1
subject141,1
subject142,1
subject143,1
subject144,1
subject145,1
subject146,1
subject147,1
subject148,1
subject149,1
subject15,1
subject150,1
subject151,1
subject152,1
subject153,1
subject154,1
subject155,1
subject156,1
subject157,1
subject158,1
subject16,1
subject160,1
subject161,1
subject162,1
subject163,1
subject164,1
subject165,1
subject166,1
subject167,1
subject168,1
subject169,1
subject17,1
subject170,1
subject171,1
subject172,1
subject173,0
subject174,0
subject176,1
subject177,1
subject178,1
subject179,1
subject18,1
subject180,1
subject182,1
subject183,1
subject184,1
subject185,1
subject186,1
subject187,1
subject188,1
subject189,1
subject19,1
subject190,1
subject191,1
subject192,1
subject193,1
subject194,1
subject195,1
subject216,0
subject228,0
subject240,0
subject247,0
subject248,0
subject253,0
subject271,0
subject272,0
subject279,0
subject283,0
subject296,0
subject309,0
subject313,0
subject35,0
subject360,0
subject371,0
subject375,0
subject394,0
subject4,0
subject400,0
subject404,0
subject426,0
subject433,0
subject435,0
subject439,0
subject443,0
subject454,0
subject466,0
subject473,0
subject476,0
subject488,0
subject49,0
subject498,0
subject67,0
subject83,0
subject84,0
subject90,0
subject91,0
subject97,0
