Subject,label
subject1,1.0
subject100,1.0
subject103,1.0
subject11,0.9
subject113,1.0
subject114,0.9
subject115,1.0
subject116,1.0
subject118,1.0
subject119,1.0
subject12,0.9
subject122,1.0
subject123,1.0
subject125,1.0
subject126,1.0
subject127,1.0
subject128,1.0
subject129,0.9
subject13,0.9
subject130,1.0
subject133,1.0
subject134,0.9
subject135,1.0
subject136,1.0
subject138,0.9
subject139,1.0
subject14,1.0
subject142,1.0
subject143,1.0
subject144,1.0
subject145,1.0
subject146,0.9
subject147,1.0
subject148,1.0
subject15,0.9
subject150,1.0
subject151,1.0
subject152,1.0
subject153,0.9
subject155,1.0
subject157,1.0
subject158,0.9
subject16,0.9
subject160,0.9
subject161,1.0
subject163,1.0
subject164,1.0
subject165,1.0
subject167,1.0
subject168,1.0
subject169,0.9
subject17,0.9
subject170,1.0
subject171,1.0
subject172,1.0
subject176,1.0
subject177,1.0
subject18,1.0
subject180,1.0
subject182,1.0
subject183,1.0
subject184,1.0
subject186,1.0
subject187,1.0
subject188,0.9
subject189,0.9
subject19,1.0
subject190,1.0
subject191,1.0
subject192,0.9
subject193,1.0
subject194,0.9
subject195,1.0
